RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description
1613,Esum: test,06/21/2010,?,605,physics,total Esum,100,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power off
1614,ACU auto mode:test,06/21/2010,18000,605,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,1.5,~,~,~,~,ACU + DAQ auto calib mode,data recording,
1615,ACU auto mode:test,06/21/2010,?,605,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU LED flashing duration time error,
1616,ACU auto mode:test,06/21/2010,6600,110,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,0.01,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU auto calib mini test,
1617,ACU auto mode:test,06/21/2010,6600,110,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,0.02,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU auto calib mini test,
1618,ACU auto mode:test,06/21/2010,3300,110,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,0.01,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU auto calib mini test,
1619,ACU auto mode:test,06/21/2010,3300,110,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,0.02,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU auto calib mini test,
1620,ACU auto mode:test,06/21/2010,3300,110,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,0.01,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU auto calib mini test,
1621,ACU auto mode:test,06/21/2010,3300,110,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,0.02,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU auto calib mini test,
1622,ACU auto mode:test,06/21/2010,37000,600,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,1.17,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU auto calib mini test,
1623,ACU auto mode:test,06/21/2010,37000,600,Adcalib,NHit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,ACU + DAQ auto calib mode,data recording: ACU auto calib mini test,
1624,LED:pedestal,06/21/2010,20000,1000,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV on; all cable connected,LED pedestal,
1625,LED:test,06/21/2010,67800,1100,Adcalib,Nhit,60,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.1,2.92,~,~,~,~,HV on; all cable connected,LED test,
1626,LED:test,06/21/2010,18000,626,Adcalib,Nhit,60,~,~,~,~,750,5,2.00E+07,500,ACU A,-7,2.92,~,~,~,~,HV on; all cable connected,LED test,
1627,LED:test,06/21/2010,18000,630,Adcalib,Nhit,60,~,~,~,~,750,5,2.00E+07,500,ACU A,-6.9,2.92,~,~,~,~,HV on; all cable connected,LED test,
1628,LED:test,06/21/2010,30000,1000,Adcalib,Nhit,50,~,~,~,~,750,5,2.00E+07,500,ACU A,-7,2.92,~,~,~,~,HV on; all cable connected,LED test,
1629,LED:test:external trigger,06/21/2010,10000,500,physics,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 1000ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 3 LED"
1630,LED:test:external trigger,06/21/2010,44000,500,physics,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 2000ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 4 LED"
1631,LED:test:external trigger,06/21/2010,70000,500,physics,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 1950ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 5 LED"
1632,LED:test:external trigger,06/21/2010,100000,500,physics,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 1900ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 6 LED"
1633,LED:test:external trigger,06/21/2010,15000,500,Adcalib,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 2000ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 7 LED"
1634,LED:test:external trigger,06/21/2010,15000,500,Adcalib,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.1,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 2000ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 8 LED"
1635,LED:test:external trigger,06/21/2010,15000,500,Adcalib,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-7,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 2000ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 9 LED"
1636,LED:test:external trigger,06/21/2010,15000,500,Adcalib,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-6.9,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 2000ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 10 LED"
1637,LED:test:external trigger,06/21/2010,15000,500,Adcalib,crossIn,~,~,~,~,~,750,5,2.00E+07,500,ACU A,-6.8,2.92,~,~,~,~,HV on; all cable connected,LED test;MO3LED TTL as output; external trigger delay 2000ns,"the TTL of the second LED only used for external triggr, no flashing on second LED of MO 11 LED"
